Zipcodes,Date,Online Available,Pharmacy,Store Sales,Median Income,Population,Year,Pop High/Low,Income High/Low
90003,01-01-2015,0,1,67385,18996,35177,2015,0,0
90003,02-01-2015,0,1,67862,18996,35177,2015,0,0
90003,03-01-2015,0,1,72886,18996,35177,2015,0,0
90003,04-01-2015,0,1,59983,18996,35177,2015,0,0
90003,05-01-2015,0,1,56489,18996,35177,2015,0,0
90003,06-01-2015,0,1,60116,18996,35177,2015,0,0
90003,07-01-2015,0,1,63849,18996,35177,2015,0,0
90003,08-01-2015,0,1,61821,18996,35177,2015,0,0
90003,09-01-2015,0,1,70163,18996,35177,2015,0,0
90003,10-01-2015,0,1,70725,18996,35177,2015,0,0
90003,11-01-2015,0,1,59260,18996,35177,2015,0,0
90003,12-01-2015,0,1,55906,18996,35177,2015,0,0
90003,01-01-2016,0,1,59891,18996,35177,2016,0,0
90003,02-01-2016,0,1,60705,18996,35177,2016,0,0
90003,03-01-2016,0,1,81039,18996,35177,2016,0,0
90003,04-01-2016,0,1,68030,18996,35177,2016,0,0
90003,05-01-2016,0,1,65841,18996,35177,2016,0,0
90003,06-01-2016,0,1,55127,18996,35177,2016,0,0
90003,07-01-2016,0,1,64550,18996,35177,2016,0,0
90003,08-01-2016,0,1,72998,18996,35177,2016,0,0
90003,09-01-2016,0,1,66655,18996,35177,2016,0,0
90003,10-01-2016,0,1,65764,18996,35177,2016,0,0
90003,11-01-2016,0,1,55233,18996,35177,2016,0,0
90003,12-01-2016,0,1,72268,18996,35177,2016,0,0
90004,01-01-2015,0,0,92524,24198,43589,2015,1,0
90004,02-01-2015,0,0,90847,24198,43589,2015,1,0
90004,03-01-2015,0,0,112860,24198,43589,2015,1,0
90004,04-01-2015,0,0,116193,24198,43589,2015,1,0
90004,05-01-2015,0,0,101131,24198,43589,2015,1,0
90004,06-01-2015,0,0,83727,24198,43589,2015,1,0
90004,07-01-2015,0,0,106510,24198,43589,2015,1,0
90004,08-01-2015,0,0,94064,24198,43589,2015,1,0
90004,09-01-2015,0,0,111520,24198,43589,2015,1,0
90004,10-01-2015,0,0,80162,24198,43589,2015,1,0
90004,11-01-2015,0,0,112670,24198,43589,2015,1,0
