Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree,modularity_class
3825,3825,,5,0.328793,0.374074,2121.93127,26,6
3568,3568,,6,0.334383,0.387225,1389.689125,34,6
3549,3549,,7,0.242466,0.270254,3140.582862,14,0
3905,3905,,8,0.200908,0.221763,315.176303,7,0
3750,3750,,6,0.352122,0.403735,422.915197,28,3
3596,3596,,5,0.383117,0.46855,2965.045591,85,1
3710,3710,,7,0.295657,0.339992,60.718981,25,2
3713,3713,,7,0.316637,0.360035,150.752963,25,2
3611,3611,,6,0.360489,0.430414,639.892694,56,1
3542,3542,,6,0.339514,0.392436,2204.467612,32,1
3726,3726,,6,0.293532,0.329567,312.370442,14,6
3972,3972,,6,0.287182,0.324984,19.48788,17,6
3633,3633,,6,0.371589,0.446359,1039.974106,64,3
3448,3448,,6,0.358784,0.423352,349.715303,46,3
3550,3550,,6,0.326167,0.373227,226.423827,18,3
3968,3968,,6,0.353764,0.417765,434.584887,45,3
1085,1085,,6,0.359756,0.412147,1157.294408,32,3
3721,3721,,6,0.351656,0.403735,609.982328,29,3
3623,3623,,6,0.297646,0.338355,13.941667,18,6
3866,3866,,5,0.303255,0.344036,99.697407,18,6
3640,3640,,6,0.327374,0.387068,165.592521,41,1
3800,3800,,6,0.360979,0.424859,400.555945,48,1
3762,3762,,6,0.29064,0.335279,11.376518,16,1
3559,3559,,6,0.337572,0.387163,521.666129,26,1
3609,3609,,6,0.34104,0.391808,66.997972,26,3
3495,3495,,6,0.355422,0.427589,1286.156452,55,3
3793,3793,,5,0.346832,0.407878,1956.959937,48,6
3951,3951,,6,0.306405,0.359353,126.719624,34,6
3873,3873,,6,0.345928,0.403955,151.965478,37,3
3471,3471,,6,0.318919,0.371092,153.786206,24,1
3851,3851,,5,0.370035,0.439046,971.851451,58,3
3780,3780,,6,0.328793,0.367075,5200.359408,15,3
3576,3576,,6,0.351656,0.412429,482.54857,41,1
3707,3707,,7,0.302392,0.35443,59.083971,23,1
3500,3500,,6,0.282898,0.316573,217.831696,19,7
3615,3615,,7,0.314201,0.354574,626.550554,19,2
3944,3944,,6,0.316071,0.358129,121.075178,12,3
3867,3867,,7,0.312353,0.356112,380.584851,25,2
3599,3599,,7,0.30926,0.359564,297.086882,32,2
3845,3845,,6,0.326568,0.370119,59.01206,19,1
3953,3953,,7,0.259024,0.275877,1.653967,3,3
3775,3775,,6,0.309982,0.33349,792.53183,8,3
3799,3799,,6,0.311072,0.340176,3475.56016,13,8
3638,3638,,7,0.26927,0.296435,248.225709,10,8
3562,3562,,7,0.298986,0.338799,47.620862,14,5
3479,3479,,7,0.298986,0.338799,47.620862,14,5
3926,3926,,6,0.356376,0.41607,324.849572,42,1
3930,3930,,6,0.353059,0.418424,1392.415761,46,1
3826,3826,,6,0.326769,0.377276,548.432911,31,6
3869,3869,,6,0.362457,0.413497,3044.920488,31,6
3782,3782,,5,0.323189,0.376428,1876.844714,31,6
3558,3558,,5,0.310164,0.366541,401.956407,37,6
3838,3838,,6,0.344581,0.418864,590.925956,60,1
3804,3804,,6,0.357335,0.421469,372.293513,48,1
3517,3517,,6,0.335863,0.378531,46.584876,16,3
3577,3577,,5,0.373155,0.435436,747.974938,51,3
3620,3620,,6,0.275701,0.316886,31.3956,15,6
3792,3792,,6,0.265633,0.301444,37.118647,14,6
3860,3860,,6,0.345928,0.403955,114.055892,36,1
3528,3528,,6,0.331047,0.385279,95.352461,35,1
3924,3924,,6,0.331047,0.387884,827.509462,40,6
3969,3969,,6,0.30068,0.344884,77.765937,24,6
3697,3697,,6,0.334805,0.383082,58.775818,20,3
3830,3830,,6,0.421429,0.519994,30255.249333,107,3
3702,3702,,6,0.34104,0.400188,202.846493,37,1
3627,3627,,6,0.318345,0.35904,40.327578,18,1
3493,3493,,6,0.297146,0.336723,70.020879,18,6
3527,3527,,6,0.329814,0.374984,29.584675,22,1
3612,3612,,6,0.324771,0.365725,1805.399286,18,8
3937,3937,,6,0.27874,0.318832,72.852158,13,6
